Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.6184869133391023, 0.47422206651684895, 0.5488967648838858, 0.0, 
0.614365801498951, 0.4555715587043164, 0.5471489919046273, 0.0, 
0.6231716066592863, 0.4997164181407069, 0.5657446451191157, 0.0, 
0.5689702781446067, 0.4061660675545389, 0.49258528971588295, 0.0, 
0.6040992883134908, 0.4662188894084437, 0.5320252547676968, 0.0, 
0.6508294067215978, 0.5406293944120456, 0.6008357183375937, 0.0, 
0.6073095351083349, 0.5010314409918105, 0.5394921613364148, 0.0, 
0.6004231103844849, 0.5204513061005918, 0.5387142419428264, 0.0, 
0.6008506877149543, 0.4411961471570159, 0.5342215298216333, 0.0, 
0.6235511132708986, 0.4799826323684482, 0.5628012029167306, 0.0, 
0.6320318602888659, 0.5157613342386571, 0.5668788133041607, 0.0, 
0.6015368761365025, 0.4318652919100225, 0.5225614104356926, 0.0, 
0.6207142453103649, 0.4895066619029532, 0.5465818878483639, 0.0, 
0.5809312117087676, 0.4134848005769424, 0.5060764549837425, 0.0, 
0.6151625073929172, 0.4645635223021343, 0.5522765335703387, 0.0, 
0.6158217470306039, 0.4611463272362039, 0.5412615337676879, 0.0, 
0.6043484002686403, 0.4659061410550235, 0.532035293738437, 0.0, 
0.605492717091973, 0.45007318966173454, 0.5374558942610829, 0.0, 
0.652154022985145, 0.5203581881229818, 0.5871953056783792, 0.0, 
0.6181778509815005, 0.5015102973002273, 0.5596899546451124, 0.0, 
0.5782608577642314, 0.44404759394720106, 0.5004813271325881, 0.0, 
0.6125397932195045, 0.5079921603764143, 0.5491431709180151, 0.0, 
0.5939724132981283, 0.4625161591106671, 0.525534208634736, 0.0, 
0.6779504684415656, 0.6087207101866169, 0.6238271285092404, 0.0, 
0.587074843239569, 0.4261062832495316, 0.5212827267378971, 0.0, 
0.5912256817844637, 0.4146076141453417, 0.5265171390239173, 0.0, 
0.6268922136407696, 0.5307639590947484, 0.5600590547433075, 0.0, 
0.649466623969446, 0.5202944679252667, 0.5912437910944728, 0.0, 
0.6027727317209394, 0.48538406972342, 0.5379744288553804, 0.0, 
0.6582525690005329, 0.5398746508231437, 0.5992175693342106, 0.0, 
0.6102472122074414, 0.4779708319419424, 0.5429161182805249, 0.0, 
0.627144030339009, 0.5198972042125691, 0.5622586880347459, 0.0, 
0.6573334583091418, 0.5262295820379033, 0.5980337352775557, 0.0, 
0.6323826490195533, 0.5099177327765994, 0.5788290024750274, 0.0, 
0.604823087144846, 0.49173151805044135, 0.533161422837597, 0.0, 
0.6340721825223632, 0.47715939465921575, 0.5646271552475519, 0.0, 
0.5901373032758477, 0.479936992972923, 0.5073810326108076, 0.0, 
0.6085461002249863, 0.5025923409163713, 0.5353545003821909, 0.0, 
0.6075132962744203, 0.5312973861342942, 0.5432408366858139, 0.0, 
0.6177302522971154, 0.4603783454949448, 0.5536733193938758, 0.0, 
0.648870005118931, 0.5911100175646623, 0.5908470362447853, 0.0, 
0.584325756013193, 0.4285413159657473, 0.5163003801725096, 0.0, 
0.6064051557817587, 0.48222028327987, 0.5451763448156136, 0.0, 
0.5853688821647957, 0.4074409733352753, 0.513079876186482, 0.0, 
0.6177271416143638, 0.42785879856566716, 0.5431782377001876, 0.0, 
0.6263781792847423, 0.5090762842388139, 0.5624770613746675, 0.0, 
0.624109409563052, 0.5120865782151042, 0.5508728568299963, 0.0, 
0.6047864185793093, 0.45689109160051505, 0.543248769658759, 0.0, 
0.6610214451198333, 0.5441942128763916, 0.5987104906310824, 0.0, 
0.6318528461253319, 0.48214382525181093, 0.5704982665464855, 0.0, 
